time,deviceName,temperature,humidity,pressure_hPa,battery_mV,rssi,snr
2025-09-15 19:37:56,NodoTest,26.61,61.95,1004.0,14.0,-98,
2025-09-15 19:38:56,NodoTest,26.61,61.96,1004.0,16.0,-94,
2025-09-15 19:39:56,NodoTest,26.61,62.0,1004.0,14.0,-103,
2025-09-15 19:40:57,NodoTest,26.62,61.94,1004.0,16.0,-99,
2025-09-15 19:41:57,NodoTest,26.59,61.85,1004.0,12.0,-103,
2025-09-15 19:42:57,NodoTest,26.6,62.02,1004.0,14.0,-94,
2025-09-15 19:43:57,NodoTest,26.62,62.04,1004.0,18.0,-99,
2025-09-15 19:44:57,NodoTest,26.61,61.72,1004.0,12.0,-98,
2025-09-15 19:45:57,NodoTest,26.6,61.75,1005.0,14.0,-97,
2025-09-15 19:46:57,NodoTest,26.61,61.82,1005.0,14.0,-94,
2025-09-15 19:47:58,NodoTest,26.61,61.97,1005.0,14.0,-97,
2025-09-15 19:48:58,NodoTest,26.61,62.12,1005.0,14.0,-102,
2025-09-15 19:49:58,NodoTest,26.59,62.12,1005.0,12.0,-100,
2025-09-15 19:50:58,NodoTest,26.6,61.97,1005.0,18.0,-101,
2025-09-15 19:51:58,NodoTest,26.61,61.99,1005.0,16.0,-95,
2025-09-15 19:52:58,NodoTest,26.61,62.12,1005.0,18.0,-98,
2025-09-15 19:53:58,NodoTest,26.6,62.02,1005.0,16.0,-91,
2025-09-15 19:54:59,NodoTest,26.59,62.07,1005.0,12.0,-96,
2025-09-15 19:55:59,NodoTest,26.59,62.03,1005.0,14.0,-101,
2025-09-15 19:56:59,NodoTest,26.61,62.06,1005.0,16.0,-102,
2025-09-15 19:57:59,NodoTest,26.59,62.04,1005.0,16.0,-93,
2025-09-15 19:58:59,NodoTest,26.6,62.11,1005.0,14.0,-93,
2025-09-15 19:59:59,NodoTest,26.6,62.15,1005.0,10.0,-97,
2025-09-15 20:00:59,NodoTest,26.6,62.05,1005.0,14.0,-88,
2025-09-15 20:02:00,NodoTest,26.58,62.02,1005.0,14.0,-88,
2025-09-15 20:04:00,NodoTest,26.58,62.13,1005.0,14.0,-96,
2025-09-15 20:05:00,NodoTest,26.56,62.37,1005.0,12.0,-108,
2025-09-15 20:06:00,NodoTest,26.6,62.19,1005.0,10.0,-93,
2025-09-15 20:07:00,NodoTest,26.6,62.2,1005.0,14.0,-97,
2025-09-15 20:08:01,NodoTest,26.59,62.24,1005.0,14.0,-94,
2025-09-15 20:09:01,NodoTest,26.58,62.11,1005.0,18.0,-97,
2025-09-15 20:10:01,NodoTest,26.6,61.97,1005.0,16.0,-94,
2025-09-15 20:11:01,NodoTest,26.6,62.17,1005.0,14.0,-96,
2025-09-15 20:12:01,NodoTest,26.57,62.17,1005.0,14.0,-108,
2025-09-15 20:13:01,NodoTest,26.58,62.06,1005.0,16.0,-98,
2025-09-15 20:14:01,NodoTest,26.56,62.06,1005.0,18.0,-102,
2025-09-15 20:15:02,NodoTest,26.56,62.12,1005.0,12.0,-98,
