time,deviceName,temperature,humidity,pressure_hPa,battery_mV,rssi,snr
2025-09-01T15:04:18.168719365+00:00,NodoTest,23.15,66.01,1008.0,12.0,-79,13.0
2025-09-01T15:05:18.310826588+00:00,NodoTest,23.09,65.78,1008.0,12.0,-80,14.0
2025-09-01T15:06:18.458645886+00:00,NodoTest,23.16,65.64,1008.0,10.0,-86,11.0
2025-09-01T15:07:18.581747072+00:00,NodoTest,23.14,65.76,1008.0,14.0,-78,13.3
2025-09-01T15:08:18.706791481+00:00,NodoTest,23.15,65.51,1008.0,14.0,-78,10.3
2025-09-01T15:09:18.864172630+00:00,NodoTest,23.12,65.34,1008.0,14.0,-78,14.0
2025-09-01T15:10:19.008008668+00:00,NodoTest,23.12,65.29,1008.0,16.0,-78,14.0
2025-09-01T15:11:19.166471503+00:00,NodoTest,23.11,65.49,1008.0,18.0,-80,13.5
2025-09-01T15:12:19.283527282+00:00,NodoTest,23.09,65.68,1008.0,14.0,-79,12.5
2025-09-01T15:13:19.442739857+00:00,NodoTest,23.1,65.4,1008.0,10.0,-81,13.5
2025-09-01T15:14:19.518207154+00:00,NodoTest,23.11,65.32,1008.0,14.0,-79,12.8
2025-09-01T15:15:19.673907211+00:00,NodoTest,23.08,65.38,1008.0,14.0,-78,13.8
2025-09-01T15:16:19.701690083+00:00,NodoTest,23.09,65.26,1008.0,16.0,-79,13.0
2025-09-01T15:17:19.836475177+00:00,NodoTest,23.04,65.31,1007.0,14.0,-78,14.0
2025-09-01T15:18:19.952801141+00:00,NodoTest,23.02,65.35,1007.0,14.0,-79,12.3
2025-09-01T15:19:20.074090086+00:00,NodoTest,23.01,66.08,1007.0,16.0,-77,9.0
2025-09-01T15:20:20.228610495+00:00,NodoTest,23.1,66.6,1007.0,12.0,-82,13.5
2025-09-01T15:21:20.375708792+00:00,NodoTest,23.09,66.95,1007.0,14.0,-80,13.8
2025-09-01T15:22:20.526090923+00:00,NodoTest,23.12,66.97,1007.0,14.0,-78,12.8
2025-09-01T15:23:20.612071813+00:00,NodoTest,23.12,66.79,1007.0,14.0,-78,13.5
2025-09-01T15:24:20.750134759+00:00,NodoTest,23.13,66.58,1008.0,18.0,-79,12.3
2025-09-01T15:25:20.863173075+00:00,NodoTest,23.14,66.34,1007.0,14.0,-77,11.0
2025-09-01T15:26:21.027239187+00:00,NodoTest,23.12,66.41,1007.0,16.0,-78,13.8
2025-09-01T15:27:21.201346337+00:00,NodoTest,23.1,66.38,1007.0,16.0,-79,13.0
2025-09-01T15:28:21.248420653+00:00,NodoTest,23.12,66.29,1007.0,12.0,-82,13.3
2025-09-01T15:29:21.368487858+00:00,NodoTest,23.1,66.26,1007.0,14.0,-80,13.5
2025-09-01T15:30:21.482226359+00:00,NodoTest,23.07,66.29,1007.0,18.0,-78,13.5
2025-09-01T15:31:21.648734749+00:00,NodoTest,23.07,66.23,1007.0,16.0,-81,13.5
2025-09-01T15:32:21.766976250+00:00,NodoTest,23.1,66.2,1007.0,14.0,-78,13.3
2025-09-01T15:33:21.856394899+00:00,NodoTest,23.1,66.13,1007.0,16.0,-77,13.8
2025-09-01T15:34:21.985196771+00:00,NodoTest,23.11,66.05,1007.0,14.0,-78,14.3
2025-09-01T15:35:22.128038643+00:00,NodoTest,23.09,66.06,1007.0,12.0,-77,8.8
2025-09-01T15:36:22.220001847+00:00,NodoTest,23.09,66.21,1007.0,16.0,-78,13.8
2025-09-01T15:37:22.376568182+00:00,NodoTest,23.1,66.0,1007.0,16.0,-80,12.8
2025-09-01T15:38:22.560174905+00:00,NodoTest,23.09,65.8,1007.0,14.0,-78,14.3
