time,deviceName,Lmax_dB,Lmax_class,LAeq1min_dB,LAeq_Background Noise,LAeq_People,LAeq_Vehicle,pct_Background Noise,pct_People,pct_Vehicle,P10_dB,P50_dB,P90_dB,rssi,snr
2026-01-31 01:05:36,Pasillo de Laboratorio,51.8,Background Noise,43.9,43.9,40.1,0.0,99.9,0.1,0.0,40.0,40.3,50.4,-86,14.3
2026-01-31 01:05:49,Main Lobby,40.4,Background Noise,40.1,40.1,0.0,0.0,100.0,0.0,0.0,40.0,40.1,40.3,-89,14.0
2026-01-31 01:06:42,Pasillo de Salones,54.9,Background Noise,50.3,50.3,0.0,0.0,100.0,0.0,0.0,40.4,50.8,52.6,-88,11.8
2026-01-31 01:06:42,Salón - Uma,65.9,Background Noise,56.5,56.5,55.9,0.0,97.4,2.6,0.0,53.7,56.0,58.5,-104,10.0
2026-01-31 01:09:04,Pasillo Administrativo,56.3,Background Noise,56.3,56.3,56.3,0.0,99.9,0.1,0.0,56.3,56.3,56.3,-113,2.3
2026-01-31 01:09:34,Salón - Extremo,52.5,Background Noise,46.3,46.3,0.0,0.0,100.0,0.0,0.0,40.1,40.5,50.8,-91,13.5
2026-01-31 01:10:37,Pasillo de Laboratorio,51.6,Background Noise,46.4,46.4,40.2,0.0,99.9,0.1,0.0,40.1,40.5,50.5,-87,13.5
2026-01-31 01:10:49,Main Lobby,40.8,Background Noise,40.2,40.2,0.0,0.0,100.0,0.0,0.0,40.0,40.0,40.8,-90,13.5
2026-01-31 01:11:42,Pasillo de Salones,55.2,Background Noise,50.2,50.2,0.0,0.0,100.0,0.0,0.0,40.4,50.7,52.7,-88,14.0
2026-01-31 01:11:46,Salón - Uma,62.5,Background Noise,56.4,56.5,55.7,0.0,97.5,2.5,0.0,53.7,56.0,58.4,-102,9.0
2026-01-31 01:14:04,Pasillo Administrativo,56.3,Background Noise,56.1,56.1,0.0,0.0,100.0,0.0,0.0,56.1,56.1,56.1,-114,-0.3
2026-01-31 01:14:34,Salón - Extremo,52.5,Background Noise,46.1,46.1,0.0,0.0,100.0,0.0,0.0,40.1,40.6,50.8,-93,13.5
2026-01-31 01:15:37,Pasillo de Laboratorio,52.5,Background Noise,43.7,43.7,0.0,0.0,100.0,0.0,0.0,40.1,40.5,50.1,-85,13.5
2026-01-31 01:15:49,Main Lobby,40.8,Background Noise,40.8,40.8,0.0,0.0,100.0,0.0,0.0,40.8,40.8,40.8,-88,11.0
2026-01-31 01:16:42,Pasillo de Salones,55.2,Background Noise,50.3,50.3,0.0,0.0,100.0,0.0,0.0,40.5,50.7,52.5,-88,14.3
2026-01-31 01:16:43,Salón - Uma,66.7,Background Noise,56.5,56.5,55.8,0.0,97.5,2.5,0.0,53.6,56.1,58.4,-103,10.3
2026-01-31 01:19:04,Pasillo Administrativo,55.7,Background Noise,55.7,55.7,0.0,0.0,100.0,0.0,0.0,55.7,55.7,55.7,-114,-0.3
2026-01-31 01:19:34,Salón - Extremo,51.9,Background Noise,46.3,46.3,0.0,0.0,100.0,0.0,0.0,40.1,40.6,50.5,-93,13.3
2026-01-31 01:20:37,Pasillo de Laboratorio,52.0,Background Noise,43.9,43.9,40.1,0.0,99.9,0.1,0.0,40.1,40.4,50.0,-86,13.8
2026-01-31 01:20:50,Main Lobby,40.8,Background Noise,40.8,40.8,0.0,0.0,100.0,0.0,0.0,40.8,40.8,40.8,-90,13.5
2026-01-31 01:21:42,Pasillo de Salones,56.1,Background Noise,50.2,50.2,0.0,0.0,100.0,0.0,0.0,40.4,50.7,52.4,-88,14.0
2026-01-31 01:21:43,Salón - Uma,64.3,Background Noise,56.5,56.6,55.3,0.0,97.2,2.8,0.0,53.7,56.0,58.6,-100,11.8
2026-01-31 01:24:04,Pasillo Administrativo,58.7,Background Noise,56.1,56.1,56.1,0.0,99.9,0.1,0.0,56.1,56.1,56.1,-116,-2.3
2026-01-31 01:24:34,Salón - Extremo,52.3,Background Noise,46.2,46.2,0.0,0.0,100.0,0.0,0.0,40.1,40.6,50.8,-88,13.8
2026-01-31 01:25:37,Pasillo de Laboratorio,51.9,Background Noise,45.0,45.0,40.9,0.0,99.8,0.2,0.0,40.0,40.4,50.4,-86,14.0
2026-01-31 01:25:50,Main Lobby,50.1,Background Noise,41.8,41.8,0.0,0.0,100.0,0.0,0.0,40.0,40.3,40.8,-89,13.3
2026-01-31 01:26:42,Pasillo de Salones,55.8,Background Noise,50.2,50.2,0.0,0.0,100.0,0.0,0.0,40.4,50.8,52.5,-88,13.5
2026-01-31 01:26:46,Salón - Uma,63.9,Background Noise,56.5,56.5,56.1,0.0,97.1,2.9,0.0,53.7,56.1,58.4,-109,6.5
2026-01-31 01:29:04,Pasillo Administrativo,58.4,Background Noise,52.5,52.5,0.0,0.0,100.0,0.0,0.0,52.5,52.5,52.5,-114,1.3
