time,deviceName,max_dB,class_label,average_dB,stdev,rssi,snr
2025-12-14 03:21:48,INMP441,58.9,Background Noise,54.4,2.03,-107,8.5
2025-12-14 03:22:48,INMP441,58.1,Background Noise,54.6,1.78,-106,8.8
2025-12-14 03:23:48,INMP441,57.9,Background Noise,54.5,1.39,-111,4.3
2025-12-14 03:24:48,INMP441,59.1,Background Noise,54.6,1.67,-106,8.8
2025-12-14 03:25:48,INMP441,59.2,Background Noise,54.6,1.45,-107,7.5
2025-12-14 03:26:48,INMP441,58.2,Background Noise,54.7,1.39,-106,9.3
2025-12-14 03:27:48,INMP441,58.3,Background Noise,54.6,1.74,-112,3.5
2025-12-14 03:28:48,INMP441,58.9,Background Noise,54.6,1.53,-106,9.0
2025-12-14 03:29:48,INMP441,58.6,Background Noise,54.9,1.47,-108,6.8
2025-12-14 03:30:48,INMP441,58.7,Background Noise,54.8,1.45,-117,-7.5
2025-12-14 03:31:49,INMP441,58.5,Background Noise,54.7,1.63,-112,3.8
2025-12-14 03:32:49,INMP441,58.2,Background Noise,54.6,1.75,-106,9.0
2025-12-14 03:33:49,INMP441,58.2,Background Noise,54.5,1.52,-110,6.0
2025-12-14 03:34:49,INMP441,58.2,Background Noise,54.7,1.66,-116,-4.5
2025-12-14 03:35:49,INMP441,59.1,Background Noise,54.6,1.94,-114,0.8
2025-12-14 03:36:49,INMP441,58.0,Background Noise,54.5,1.47,-107,5.0
2025-12-14 03:37:49,INMP441,58.3,Background Noise,54.9,1.76,-105,3.5
2025-12-14 03:38:49,INMP441,58.2,Background Noise,54.7,1.35,-113,1.3
2025-12-14 03:39:49,INMP441,58.6,Background Noise,54.6,1.53,-114,1.0
2025-12-14 03:40:49,INMP441,58.6,Background Noise,54.5,2.0,-106,7.5
2025-12-14 03:41:49,INMP441,59.0,Background Noise,54.7,1.8,-110,5.5
2025-12-14 03:42:49,INMP441,57.9,Background Noise,54.7,1.45,-111,3.8
2025-12-14 03:43:49,INMP441,58.3,Background Noise,54.7,1.4,-112,2.8
2025-12-14 03:44:49,INMP441,58.5,Background Noise,54.8,1.33,-116,-6.5
2025-12-14 03:45:49,INMP441,58.1,Background Noise,54.5,1.71,-105,4.3
2025-12-14 03:46:49,INMP441,58.6,Background Noise,54.6,1.75,-107,8.0
2025-12-14 03:47:49,INMP441,57.6,Background Noise,54.6,1.42,-113,-3.5
2025-12-14 03:48:49,INMP441,59.2,Background Noise,54.6,1.49,-110,5.8
2025-12-14 03:49:49,INMP441,58.4,Background Noise,54.6,1.51,-106,7.3
2025-12-14 03:50:49,INMP441,58.8,Background Noise,54.7,1.73,-107,8.0
2025-12-14 03:51:49,INMP441,57.8,Background Noise,54.8,1.44,-112,3.3
2025-12-14 03:52:49,INMP441,58.4,Background Noise,54.6,1.48,-107,7.5
2025-12-14 03:53:49,INMP441,57.9,Background Noise,54.6,1.44,-107,6.5
2025-12-14 03:54:49,INMP441,58.7,Background Noise,54.8,1.39,-106,8.3
2025-12-14 03:55:49,INMP441,59.1,Background Noise,54.6,1.68,-109,6.3
2025-12-14 03:56:49,INMP441,58.7,Background Noise,54.7,1.98,-106,9.0
2025-12-14 03:57:50,INMP441,58.3,Background Noise,54.5,1.78,-107,4.8
2025-12-14 03:58:50,INMP441,57.9,Background Noise,54.6,1.47,-109,6.3
2025-12-14 03:59:50,INMP441,58.0,Background Noise,54.5,1.8,-114,0.8
2025-12-14 04:00:50,INMP441,58.0,Background Noise,54.6,1.47,-106,9.3
2025-12-14 04:01:50,INMP441,58.3,Background Noise,54.5,1.62,-108,7.0
2025-12-14 04:02:50,INMP441,58.3,Background Noise,54.4,1.78,-107,6.5
